date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:04:39	118874/118874	---M--	200	added ('OK')	image/png	etag:%22cc42a0b9fcdc0b95db18879537e2a0c1-ssl%22	https://meenakshi-realestate.netlify.app/img/logo.png	D:/html%20and%20css%20,%20bootstrap/land/meenakshi-realestate.netlify.app/img/logo.png	(from https://meenakshi-realestate.netlify.app/)
16:04:40	16752/16752	---MCZ	200	added ('OK')	text/html	etag:%2248b1587a3067b1f36f2e54417427d86d-ssl-df%22	https://meenakshi-realestate.netlify.app/service	D:/html%20and%20css%20,%20bootstrap/land/meenakshi-realestate.netlify.app/service.html	(from https://meenakshi-realestate.netlify.app/)
16:04:40	10468/10468	---MCZ	200	added ('OK')	text/html	etag:%2276c9d1441e519ac1f3f963258e85c923-ssl-df%22	https://meenakshi-realestate.netlify.app/businessprocessverification	D:/html%20and%20css%20,%20bootstrap/land/meenakshi-realestate.netlify.app/businessprocessverification.html	(from https://meenakshi-realestate.netlify.app/)
16:04:41	11648/11648	---MCZ	200	added ('OK')	text/html	etag:%22f4203585feaddc784b7c22307a2fd770-ssl-df%22	https://meenakshi-realestate.netlify.app/contact	D:/html%20and%20css%20,%20bootstrap/land/meenakshi-realestate.netlify.app/contact.html	(from https://meenakshi-realestate.netlify.app/)
16:04:41	229388/229388	---M--	200	added ('OK')	image/jpeg	etag:%226310ed7ea71ba11e235c8d8564d7e63d-ssl%22	https://meenakshi-realestate.netlify.app/img/slider-1.jpg	D:/html%20and%20css%20,%20bootstrap/land/meenakshi-realestate.netlify.app/img/slider-1.jpg	(from https://meenakshi-realestate.netlify.app/)
16:04:41	63563/63563	---M--	200	added ('OK')	image/jpeg	etag:%226c27ed6d16fb45a9614f2c0c44b81360-ssl%22	https://meenakshi-realestate.netlify.app/img/about-1.jpg	D:/html%20and%20css%20,%20bootstrap/land/meenakshi-realestate.netlify.app/img/about-1.jpg	(from https://meenakshi-realestate.netlify.app/)
16:04:42	79465/79465	---M--	200	added ('OK')	image/jpeg	etag:%22bbd33231b7fb817f27cdb78235c898b4-ssl%22	https://meenakshi-realestate.netlify.app/img/about-2.jpg	D:/html%20and%20css%20,%20bootstrap/land/meenakshi-realestate.netlify.app/img/about-2.jpg	(from https://meenakshi-realestate.netlify.app/)
16:04:42	62362/62362	---M--	200	added ('OK')	image/jpeg	etag:%22b970a6f88c0a2e0c3883a345b11efe19-ssl%22	https://meenakshi-realestate.netlify.app/img/house-1.jpg	D:/html%20and%20css%20,%20bootstrap/land/meenakshi-realestate.netlify.app/img/house-1.jpg	(from https://meenakshi-realestate.netlify.app/)
16:04:43	37138/37138	---M--	200	added ('OK')	image/jpeg	etag:%22521b1e4d52666a422c0ec57b477f53f2-ssl%22	https://meenakshi-realestate.netlify.app/img/house-2.jpg	D:/html%20and%20css%20,%20bootstrap/land/meenakshi-realestate.netlify.app/img/house-2.jpg	(from https://meenakshi-realestate.netlify.app/)
16:04:43	46656/46656	---M--	200	added ('OK')	image/jpeg	etag:%221deba25da5a136b16854a1c0a2cb931c-ssl%22	https://meenakshi-realestate.netlify.app/img/house-3.jpg	D:/html%20and%20css%20,%20bootstrap/land/meenakshi-realestate.netlify.app/img/house-3.jpg	(from https://meenakshi-realestate.netlify.app/)
16:04:43	30231/30231	---M--	200	added ('OK')	image/jpeg	etag:%228612304a3db472c7f6e86ac3d33c4d5f-ssl%22	https://meenakshi-realestate.netlify.app/img/house-4.jpg	D:/html%20and%20css%20,%20bootstrap/land/meenakshi-realestate.netlify.app/img/house-4.jpg	(from https://meenakshi-realestate.netlify.app/)
16:04:44	37289/37289	---M--	200	added ('OK')	image/jpeg	etag:%225e4774d34172c489d2e9aebaca254c06-ssl%22	https://meenakshi-realestate.netlify.app/img/house-5.jpg	D:/html%20and%20css%20,%20bootstrap/land/meenakshi-realestate.netlify.app/img/house-5.jpg	(from https://meenakshi-realestate.netlify.app/)
16:04:44	33945/33945	---M--	200	added ('OK')	image/jpeg	etag:%226055fbccc804e191f247d55b7a82dc30-ssl%22	https://meenakshi-realestate.netlify.app/img/house-6.jpg	D:/html%20and%20css%20,%20bootstrap/land/meenakshi-realestate.netlify.app/img/house-6.jpg	(from https://meenakshi-realestate.netlify.app/)
16:04:45	31854/31854	---M--	200	added ('OK')	image/jpeg	etag:%22633fd902b3a7ca728a8e4ea88edaad80-ssl%22	https://meenakshi-realestate.netlify.app/img/location-1.jpg	D:/html%20and%20css%20,%20bootstrap/land/meenakshi-realestate.netlify.app/img/location-1.jpg	(from https://meenakshi-realestate.netlify.app/)
16:04:45	39018/39018	---M--	200	added ('OK')	image/jpeg	etag:%2228b321295bd8c888109c8f0879fbe855-ssl%22	https://meenakshi-realestate.netlify.app/img/location-2.jpg	D:/html%20and%20css%20,%20bootstrap/land/meenakshi-realestate.netlify.app/img/location-2.jpg	(from https://meenakshi-realestate.netlify.app/)
16:04:46	35752/35752	---M--	200	added ('OK')	image/jpeg	etag:%221864d11a7535412715843854cf06cfab-ssl%22	https://meenakshi-realestate.netlify.app/img/location-3.jpg	D:/html%20and%20css%20,%20bootstrap/land/meenakshi-realestate.netlify.app/img/location-3.jpg	(from https://meenakshi-realestate.netlify.app/)
16:04:46	53450/53450	---M--	200	added ('OK')	image/jpeg	etag:%22f3971aeffd68f6ba4f7f9411f9e6b466-ssl%22	https://meenakshi-realestate.netlify.app/img/location-4.jpg	D:/html%20and%20css%20,%20bootstrap/land/meenakshi-realestate.netlify.app/img/location-4.jpg	(from https://meenakshi-realestate.netlify.app/)
16:04:47	36275/36275	---M--	200	added ('OK')	image/jpeg	etag:%2203362fc2a4ed5d9d214d8a3f3461aa2d-ssl%22	https://meenakshi-realestate.netlify.app/img/location-5.jpg	D:/html%20and%20css%20,%20bootstrap/land/meenakshi-realestate.netlify.app/img/location-5.jpg	(from https://meenakshi-realestate.netlify.app/)
16:04:47	12646/12646	---M--	200	added ('OK')	image/jpeg	etag:%22204ced1cf4e0902e668e4074ef03fa7a-ssl%22	https://meenakshi-realestate.netlify.app/img/location-6.jpg	D:/html%20and%20css%20,%20bootstrap/land/meenakshi-realestate.netlify.app/img/location-6.jpg	(from https://meenakshi-realestate.netlify.app/)
16:04:47	53848/53848	---M--	200	added ('OK')	image/png	etag:%22b7bdb17b6b69668ccda4f8ec401fe380-ssl%22	https://meenakshi-realestate.netlify.app/img/home-1.png	D:/html%20and%20css%20,%20bootstrap/land/meenakshi-realestate.netlify.app/img/home-1.png	(from https://meenakshi-realestate.netlify.app/)
16:04:48	59302/59302	---M--	200	added ('OK')	image/png	etag:%227d605e9d8a59f642b794038d03310de8-ssl%22	https://meenakshi-realestate.netlify.app/img/home-2.png	D:/html%20and%20css%20,%20bootstrap/land/meenakshi-realestate.netlify.app/img/home-2.png	(from https://meenakshi-realestate.netlify.app/)
16:04:48	41910/41910	---M--	200	added ('OK')	image/png	etag:%22faa8570ef70d6740b520b8f5720224a5-ssl%22	https://meenakshi-realestate.netlify.app/img/home-3.png	D:/html%20and%20css%20,%20bootstrap/land/meenakshi-realestate.netlify.app/img/home-3.png	(from https://meenakshi-realestate.netlify.app/)
16:04:49	58490/58490	---M--	200	added ('OK')	image/jpeg	etag:%2220444d67bb8e7e8b058edfc420f52089-ssl%22	https://meenakshi-realestate.netlify.app/img/img-w-text1.jpg	D:/html%20and%20css%20,%20bootstrap/land/meenakshi-realestate.netlify.app/img/img-w-text1.jpg	(from https://meenakshi-realestate.netlify.app/)
16:04:49	74128/74128	---M--	200	added ('OK')	image/jpeg	etag:%22b03585afac6eca63fe732c8430e345e6-ssl%22	https://meenakshi-realestate.netlify.app/img/house-7.jpg	D:/html%20and%20css%20,%20bootstrap/land/meenakshi-realestate.netlify.app/img/house-7.jpg	(from https://meenakshi-realestate.netlify.app/)
